,int,int,int,string,string,string,int,int,string,
251217정기점검보상,10029,400000110,800017,2025-12-17 11:00:00,2025-12-18 23:59:59,2025-12-23 23:59:59,1,1,정기정검,27
251224정기점검보상,10030,400000110,800018,2025-12-24 11:00:00,2025-12-25 23:59:59,2025-12-30 23:59:59,1,1,정기정검,27
251231정기점검보상,10031,400000110,800017,2025-12-31 11:00:00,2026-01-01 23:59:59,2026-01-06 23:59:59,1,1,정기정검,27
250107정기점검보상,10032,400000110,800021,2026-01-07 10:00:00,2026-01-08 23:59:59,2026-01-13 23:59:59,1,1,정기정검,28
260114정기점검보상,10033,400000110,800018,2026-01-14 10:00:00,2026-01-15 23:59:59,2026-01-20 23:59:59,1,1,정기정검,28
260114연장점검보상,10034,400000110,800020,2026-01-14 10:00:00,2026-01-15 23:59:59,2026-01-20 23:59:59,1,1,정기정검,28
260114연장점검보상,10035,400000110,800020,2026-01-14 10:00:00,2026-01-15 23:59:59,2026-01-20 23:59:59,1,1,정기정검,28
260121정기점검보상,10036,400000110,800021,2026-01-21 10:00:00,2026-01-22 23:59:59,2026-01-27 23:59:59,1,1,정기정검,28
260128정기점검보상,10037,400000110,800018,2026-01-28 10:00:00,2026-01-29 23:59:59,2026-02-03 23:59:59,1,1,정기정검,28
260204정기점검보상,10038,400000110,800017,2026-02-04 10:00:00,2026-02-05 23:59:59,2026-02-10 23:59:59,1,1,정기정검,28
260211정기점검보상,10039,400000110,800019,2026-02-11 10:00:00,2026-02-12 23:59:59,2026-02-17 23:59:59,1,0,정기정검,28


